Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Kelley,2011-01-01,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,1,,6.6,,-0.9,,2.9,,15.1,,0,,,M,,M,0,,13,,,M,,M
Kelley,2011-01-02,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,2,,1.8,,-1.2,,0.3,,17.7,,0,,,M,,M,0,,11,,,M,,M
Kelley,2011-01-03,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,3,,2,,-6.4,,-2.2,,20.2,,0,,0,,,M,19.6,,16,,,M,,M
Kelley,2011-01-04,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,4,,-3.1,,-10.5,,-6.8,,24.8,,0,,,M,,M,0,,15,,,M,,M
Kelley,2011-01-05,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,5,,-2.7,,-10.7,,-6.7,,24.7,,0,,,M,,M,0,,16,,,M,,M
Kelley,2011-01-06,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,6,,-2.4,,-13.3,,-7.9,,25.9,,0,,,M,,M,0,,16,,,M,,M
Kelley,2011-01-07,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,7,,0.6,,-6.2,,-2.8,,20.8,,0,,0,,,M,2.1,,15,,,M,,M
Kelley,2011-01-08,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,8,,1.3,,-2.8,,-0.8,,18.8,,0,,0,,,M,1.5,,16,,,M,,M
Kelley,2011-01-09,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,9,,-0.4,,-2.7,,-1.6,,19.6,,0,,0,,,M,0.4,,21,,,M,,M
Kelley,2011-01-10,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,10,,2.6,,-1.7,,0.5,,17.5,,0,,,M,,M,0,,22,,,M,,M
Kelley,2011-01-11,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,11,,0.8,,-2.4,,-0.8,,18.8,,0,,,M,,M,0,,21,,,M,,M
Kelley,2011-01-12,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,12,,-0.2,,-3.7,,-2,,20,,0,,0,,,M,14.6,,21,,,M,,M
Kelley,2011-01-13,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,13,,0.9,,-3,,-1.1,,19.1,,0,,,M,,M,4.2,,45,,,M,,M
Kelley,2011-01-14,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,14,,-1.4,,-7.2,,-4.3,,22.3,,0,,,M,,M,0,,39,,,M,,M
Kelley,2011-01-15,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,15,,-2,,-8.6,,-5.3,,23.3,,0,,,M,,M,0.8,,36,,,M,,M
Kelley,2011-01-16,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,16,,-3.3,,-11.9,,-7.6,,25.6,,0,,0,,,M,6.4,,,,,M,,M
Kelley,2011-01-17,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,17,,-6.8,,-15.3,,-11.1,,29.1,,0,,,M,,M,0,,41,,,M,,M
Kelley,2011-01-18,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,18,,0.8,,-16.7,,-8,,26,,0,,,M,,M,2,,39,,,M,,M
Kelley,2011-01-19,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,19,,3.8,,-3.6,,0.1,,17.9,,0,,,M,,M,26.4,,34,,,M,,M
Kelley,2011-01-20,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,20,,-3.6,,-11.4,,-7.5,,25.5,,0,,,M,,M,0,,30,,,M,,M
Kelley,2011-01-21,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,21,,2.2,,-12.3,,-5.1,,23.1,,0,,0,,,M,13.2,,30,,,M,,M
Kelley,2011-01-22,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,22,,-7.7,,-14.9,,-11.3,,29.3,,0,,,M,,M,0,,41,,,M,,M
Kelley,2011-01-23,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,23,,-8.7,,-20.6,,-14.7,,32.7,,0,,,M,,M,0,,40,,,M,,M
Kelley,2011-01-24,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,24,,-15.8,,-23.4,,-19.6,,37.6,,0,,,M,,M,0,,39,,,M,,M
Kelley,2011-01-25,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,25,,-8.9,,-20.4,,-14.7,,32.7,,0,,,M,,M,0,,39,,,M,,M
Kelley,2011-01-26,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,26,,-4.4,,-14.4,,-9.4,,27.4,,0,,,M,,M,0,,38,,,M,,M
Kelley,2011-01-27,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,27,,-0.3,,-5.6,,-3,,21,,0,,0,,,M,23.9,,44,,,M,,M
Kelley,2011-01-28,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,28,,-1.2,,-10,,-5.6,,23.6,,0,,,M,,M,0,,57,,,M,,M
Kelley,2011-01-29,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,29,,-1.9,,-11.5,,-6.7,,24.7,,0,,,M,,M,0,,56,,,M,,M
Kelley,2011-01-30,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,30,,-2.5,,-12.4,,-7.5,,25.5,,0,,0,,,M,0.4,,54,,,M,,M
Kelley,2011-01-31,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,1,31,,-8.8,,-18.2,,-13.5,,31.5,,0,,,M,,M,0,,58,,,M,,M
Kelley,2011-02-01,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,2,1,,-7.5,,-19.5,,-13.5,,31.5,,0,,,M,,M,0,,56,,,M,,M
Kelley,2011-02-02,-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,2011,2,2,,-6,,-12.5,,-9.3,,27.3,,0,,0,,,M,16.4,,56,,,M,,M
