Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Lahave,2012-01-01,-64.55,44.4,BRIDGEWATER,8200600,2012,1,1,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-02,-64.55,44.4,BRIDGEWATER,8200600,2012,1,2,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-03,-64.55,44.4,BRIDGEWATER,8200600,2012,1,3,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-04,-64.55,44.4,BRIDGEWATER,8200600,2012,1,4,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-05,-64.55,44.4,BRIDGEWATER,8200600,2012,1,5,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-06,-64.55,44.4,BRIDGEWATER,8200600,2012,1,6,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-07,-64.55,44.4,BRIDGEWATER,8200600,2012,1,7,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-08,-64.55,44.4,BRIDGEWATER,8200600,2012,1,8,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-09,-64.55,44.4,BRIDGEWATER,8200600,2012,1,9,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-10,-64.55,44.4,BRIDGEWATER,8200600,2012,1,10,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-11,-64.55,44.4,BRIDGEWATER,8200600,2012,1,11,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-12,-64.55,44.4,BRIDGEWATER,8200600,2012,1,12,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-13,-64.55,44.4,BRIDGEWATER,8200600,2012,1,13,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-14,-64.55,44.4,BRIDGEWATER,8200600,2012,1,14,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-15,-64.55,44.4,BRIDGEWATER,8200600,2012,1,15,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-16,-64.55,44.4,BRIDGEWATER,8200600,2012,1,16,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-17,-64.55,44.4,BRIDGEWATER,8200600,2012,1,17,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-18,-64.55,44.4,BRIDGEWATER,8200600,2012,1,18,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-19,-64.55,44.4,BRIDGEWATER,8200600,2012,1,19,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-20,-64.55,44.4,BRIDGEWATER,8200600,2012,1,20,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-21,-64.55,44.4,BRIDGEWATER,8200600,2012,1,21,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-22,-64.55,44.4,BRIDGEWATER,8200600,2012,1,22,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-23,-64.55,44.4,BRIDGEWATER,8200600,2012,1,23,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-24,-64.55,44.4,BRIDGEWATER,8200600,2012,1,24,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-25,-64.55,44.4,BRIDGEWATER,8200600,2012,1,25,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-26,-64.55,44.4,BRIDGEWATER,8200600,2012,1,26,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-27,-64.55,44.4,BRIDGEWATER,8200600,2012,1,27,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-28,-64.55,44.4,BRIDGEWATER,8200600,2012,1,28,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-29,-64.55,44.4,BRIDGEWATER,8200600,2012,1,29,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-30,-64.55,44.4,BRIDGEWATER,8200600,2012,1,30,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-01-31,-64.55,44.4,BRIDGEWATER,8200600,2012,1,31,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-01,-64.55,44.4,BRIDGEWATER,8200600,2012,2,1,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-02,-64.55,44.4,BRIDGEWATER,8200600,2012,2,2,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-03,-64.55,44.4,BRIDGEWATER,8200600,2012,2,3,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-04,-64.55,44.4,BRIDGEWATER,8200600,2012,2,4,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-05,-64.55,44.4,BRIDGEWATER,8200600,2012,2,5,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-06,-64.55,44.4,BRIDGEWATER,8200600,2012,2,6,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-07,-64.55,44.4,BRIDGEWATER,8200600,2012,2,7,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-08,-64.55,44.4,BRIDGEWATER,8200600,2012,2,8,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-09,-64.55,44.4,BRIDGEWATER,8200600,2012,2,9,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-10,-64.55,44.4,BRIDGEWATER,8200600,2012,2,10,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-11,-64.55,44.4,BRIDGEWATER,8200600,2012,2,11,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-12,-64.55,44.4,BRIDGEWATER,8200600,2012,2,12,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-13,-64.55,44.4,BRIDGEWATER,8200600,2012,2,13,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-14,-64.55,44.4,BRIDGEWATER,8200600,2012,2,14,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-15,-64.55,44.4,BRIDGEWATER,8200600,2012,2,15,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-16,-64.55,44.4,BRIDGEWATER,8200600,2012,2,16,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-17,-64.55,44.4,BRIDGEWATER,8200600,2012,2,17,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-18,-64.55,44.4,BRIDGEWATER,8200600,2012,2,18,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-19,-64.55,44.4,BRIDGEWATER,8200600,2012,2,19,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-20,-64.55,44.4,BRIDGEWATER,8200600,2012,2,20,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-21,-64.55,44.4,BRIDGEWATER,8200600,2012,2,21,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-22,-64.55,44.4,BRIDGEWATER,8200600,2012,2,22,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-23,-64.55,44.4,BRIDGEWATER,8200600,2012,2,23,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-24,-64.55,44.4,BRIDGEWATER,8200600,2012,2,24,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-25,-64.55,44.4,BRIDGEWATER,8200600,2012,2,25,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-26,-64.55,44.4,BRIDGEWATER,8200600,2012,2,26,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-27,-64.55,44.4,BRIDGEWATER,8200600,2012,2,27,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-28,-64.55,44.4,BRIDGEWATER,8200600,2012,2,28,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-02-29,-64.55,44.4,BRIDGEWATER,8200600,2012,2,29,,,,,,,,,,,,,,,,,,,,,,,
Lahave,2012-03-01,-64.55,44.4,BRIDGEWATER,8200600,2012,3,1,†,-5,,-9,,-7,,25,,0,,0,,7,,7,,4,,,,,
Lahave,2012-03-02,-64.55,44.4,BRIDGEWATER,8200600,2012,3,2,†,0,,-6,,-3,,21,,0,,0,,0,,0,,11,,,,,
Lahave,2012-03-03,-64.55,44.4,BRIDGEWATER,8200600,2012,3,3,†,9,,-4.5,,2.3,,15.7,,0,,13,,0,,13,,11,,,,,
Lahave,2012-03-04,-64.55,44.4,BRIDGEWATER,8200600,2012,3,4,†,5.5,,-3,,1.3,,16.7,,0,,0,T,0,,0,T,1,,,,,
Lahave,2012-03-05,-64.55,44.4,BRIDGEWATER,8200600,2012,3,5,†,5.5,,0,,2.8,,15.2,,0,,0,,0.4,,0.4,,0,T,,,,
Lahave,2012-03-06,-64.55,44.4,BRIDGEWATER,8200600,2012,3,6,†,0,,-6,,-3,,21,,0,,0,,0,,0,,0,T,,,,
Lahave,2012-03-07,-64.55,44.4,BRIDGEWATER,8200600,2012,3,7,†,6.5,,-10,,-1.8,,19.8,,0,,0,,0,,0,,0,T,,,,
Lahave,2012-03-08,-64.55,44.4,BRIDGEWATER,8200600,2012,3,8,†,16.5,,-1,,7.8,,10.2,,0,,1.8,,0,,1.8,,0,,,,,
Lahave,2012-03-09,-64.55,44.4,BRIDGEWATER,8200600,2012,3,9,†,12,,3,,7.5,,10.5,,0,,4.6,,0,,4.6,,0,,,,,
Lahave,2012-03-10,-64.55,44.4,BRIDGEWATER,8200600,2012,3,10,†,4,,-7,,-1.5,,19.5,,0,,0,,0,,0,,0,,,,,
Lahave,2012-03-11,-64.55,44.4,BRIDGEWATER,8200600,2012,3,11,†,6,,-9,,-1.5,,19.5,,0,,1,,0,,1,,0,,,,,
Lahave,2012-03-12,-64.55,44.4,BRIDGEWATER,8200600,2012,3,12,†,15,,-1,,7,,11,,0,,0,,0,,0,,0,,,,,
Lahave,2012-03-13,-64.55,44.4,BRIDGEWATER,8200600,2012,3,13,†,7,,-1.5,,2.8,,15.2,,0,,5,,0,,5,,0,,,,,
Lahave,2012-03-14,-64.55,44.4,BRIDGEWATER,8200600,2012,3,14,†,2,,0,,1,,17,,0,,3.4,,10,,13.4,,0,,,,,
Lahave,2012-03-15,-64.55,44.4,BRIDGEWATER,8200600,2012,3,15,†,2,,-1,,0.5,,17.5,,0,,9.8,,0,,9.8,,7,,,,,
Lahave,2012-03-16,-64.55,44.4,BRIDGEWATER,8200600,2012,3,16,†,4.5,,-2,,1.3,,16.7,,0,,4.6,,5.6,,10.2,,5,,,,,
