Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Margaree,2012-01-01,-60.05,46.17,SYDNEY A,8205700,2012,1,1,,6,,-1.4,,2.3,,15.7,,0,,10.1,,0,,10.1,,,,36,,48,
Margaree,2012-01-02,-60.05,46.17,SYDNEY A,8205700,2012,1,2,,9.4,,0,,4.7,,13.3,,0,,7.4,,0,,7.4,,,,18,,54,
Margaree,2012-01-03,-60.05,46.17,SYDNEY A,8205700,2012,1,3,,2.6,,-2.7,,-0.1,,18.1,,0,,0,,0,,0,,,,2,,32,
Margaree,2012-01-04,-60.05,46.17,SYDNEY A,8205700,2012,1,4,,-1.4,,-7,,-4.2,,22.2,,0,,0,,25.8,,25.8,,2,,36,,52,
Margaree,2012-01-05,-60.05,46.17,SYDNEY A,8205700,2012,1,5,,0.7,,-9,,-4.2,,22.2,,0,,0.4,,5,,5.4,,22,,16,,33,
Margaree,2012-01-06,-60.05,46.17,SYDNEY A,8205700,2012,1,6,,-2.2,,-13.1,,-7.7,,25.7,,0,,0,,0,T,0,T,24,,28,,35,
Margaree,2012-01-07,-60.05,46.17,SYDNEY A,8205700,2012,1,7,,1.5,,-11.1,,-4.8,,22.8,,0,,0.4,,0.4,,0.8,,24,,,,<31,
Margaree,2012-01-08,-60.05,46.17,SYDNEY A,8205700,2012,1,8,,2.4,,-2.4,,0,,18,,0,,0,,0,T,0,T,15,,,,<31,
Margaree,2012-01-09,-60.05,46.17,SYDNEY A,8205700,2012,1,9,,-1.1,,-7.8,,-4.5,,22.5,,0,,0,,1.8,,1.8,,14,,29,,33,
Margaree,2012-01-10,-60.05,46.17,SYDNEY A,8205700,2012,1,10,,-0.6,,-12.5,,-6.6,,24.6,,0,,0,,0,T,0,T,14,,,,<31,
Margaree,2012-01-11,-60.05,46.17,SYDNEY A,8205700,2012,1,11,,-0.3,,-9.7,,-5,,23,,0,,0,,0,T,0,T,12,,30,,57,
Margaree,2012-01-12,-60.05,46.17,SYDNEY A,8205700,2012,1,12,,-2.3,,-7.9,,-5.1,,23.1,,0,,0,,14,,14,,12,,11,,48,
Margaree,2012-01-13,-60.05,46.17,SYDNEY A,8205700,2012,1,13,,8.9,,-2.3,,3.3,,14.7,,0,,8.8,,5,,11.8,,21,,12,,57,
