Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Margaree,2003-01-01,-60.05,46.17,SYDNEY A,8205700,2003,1,1,,3.6,,-2.5,,0.6,,17.4,,0,,3.2,,0,T,3.2,,19,,28,E,44,E
Margaree,2003-01-02,-60.05,46.17,SYDNEY A,8205700,2003,1,2,,-1.8,,-6.3,,-4.1,,22.1,,0,,0,,0.4,,0.4,,16,,35,E,61,E
Margaree,2003-01-03,-60.05,46.17,SYDNEY A,8205700,2003,1,3,,-0.7,,-6.8,,-3.8,,21.8,,0,,0,,0,,0,,16,,31,E,32,E
Margaree,2003-01-04,-60.05,46.17,SYDNEY A,8205700,2003,1,4,,-1.8,,-6.9,,-4.4,,22.4,,0,,0,,14.4,,14.4,,14,,5,E,52,E
Margaree,2003-01-05,-60.05,46.17,SYDNEY A,8205700,2003,1,5,,-0.2,,-14.1,,-7.2,,25.2,,0,,0,,4.4,,4,,26,,4,E,46,E
Margaree,2003-01-06,-60.05,46.17,SYDNEY A,8205700,2003,1,6,,-0.1,,-13.1,,-6.6,,24.6,,0,,0,,4.2,,4.2,,23,,,,<31,
Margaree,2003-01-07,-60.05,46.17,SYDNEY A,8205700,2003,1,7,,0.7,,-0.9,,-0.1,,18.1,,0,,4.4,,11.2,,15,,26,,35,E,52,E
Margaree,2003-01-08,-60.05,46.17,SYDNEY A,8205700,2003,1,8,,-0.8,,-5.4,,-3.1,,21.1,,0,,0,,9.8,,9.8,,32,,25,E,65,E
Margaree,2003-01-09,-60.05,46.17,SYDNEY A,8205700,2003,1,9,,-4.1,,-10.5,,-7.3,,25.3,,0,,0,,0.2,,0.2,,33,,25,E,41,E
Margaree,2003-01-10,-60.05,46.17,SYDNEY A,8205700,2003,1,10,,-1.6,,-13.2,,-7.4,,25.4,,0,,0,,9.6,,9.6,,31,,23,E,32,E
Margaree,2003-01-11,-60.05,46.17,SYDNEY A,8205700,2003,1,11,,-1.9,,-14.3,,-8.1,,26.1,,0,,0,,11.2,,11.2,,45,,25,E,52,E
Margaree,2003-01-12,-60.05,46.17,SYDNEY A,8205700,2003,1,12,,-8.6,,-19.2,,-13.9,,31.9,,0,,0,,0.2,,0.2,,46,,24,E,41,E
Margaree,2003-01-13,-60.05,46.17,SYDNEY A,8205700,2003,1,13,,-0.3,,-9.8,,-5.1,,23.1,,0,,0,,3.4,,3.4,,46,,25,E,44,E
Margaree,2003-01-14,-60.05,46.17,SYDNEY A,8205700,2003,1,14,,0,,-11.8,,-5.9,,23.9,,0,,0,,3.2,,2.6,,52,,24,E,56,E
Margaree,2003-01-15,-60.05,46.17,SYDNEY A,8205700,2003,1,15,,-10.5,,-23.6,,-17.1,,35.1,,0,,0,,0,T,0,T,50,,,,<31,
Margaree,2003-01-16,-60.05,46.17,SYDNEY A,8205700,2003,1,16,,-9.4,,-24.3,,-16.9,,34.9,,0,,0,,0,T,0,T,50,,24,E,39,E
Margaree,2003-01-17,-60.05,46.17,SYDNEY A,8205700,2003,1,17,,-5.2,,-17.4,,-11.3,,29.3,,0,,0,,11.4,,10.8,,47,,36,E,46,E
Margaree,2003-01-18,-60.05,46.17,SYDNEY A,8205700,2003,1,18,,-5.6,,-23.2,,-14.4,,32.4,,0,,0,,2.4,,1.8,,57,,35,E,52,E
Margaree,2003-01-19,-60.05,46.17,SYDNEY A,8205700,2003,1,19,,-2.4,,-24.2,,-13.3,,31.3,,0,,0,,13,,12,,57,,6,E,46,E
Margaree,2003-01-20,-60.05,46.17,SYDNEY A,8205700,2003,1,20,,-2.9,,-12.5,,-7.7,,25.7,,0,,0,,8.2,,7.2,,70,,1,E,54,E
Margaree,2003-01-21,-60.05,46.17,SYDNEY A,8205700,2003,1,21,,-8.4,,-15.3,,-11.9,,29.9,,0,,0,,1,,1,,70,,24,E,70,E
Margaree,2003-01-22,-60.05,46.17,SYDNEY A,8205700,2003,1,22,,-14.4,,-18.2,,-16.3,,34.3,,0,,0,,2,,2,,67,,25,E,57,E
Margaree,2003-01-23,-60.05,46.17,SYDNEY A,8205700,2003,1,23,,-4,,-14.5,,-9.3,,27.3,,0,,0,,0,T,0,T,67,,24,E,46,E
Margaree,2003-01-24,-60.05,46.17,SYDNEY A,8205700,2003,1,24,,-3.9,,-10.8,,-7.4,,25.4,,0,,0,,0,T,0,T,67,,32,E,61,E
Margaree,2003-01-25,-60.05,46.17,SYDNEY A,8205700,2003,1,25,,-10.3,,-17.1,,-13.7,,31.7,,0,,0,,0,,0,,67,,27,E,44,E
Margaree,2003-01-26,-60.05,46.17,SYDNEY A,8205700,2003,1,26,,2.2,,-17.7,,-7.8,,25.8,,0,,2,,0.8,,2.8,,67,,,,<31,
Margaree,2003-01-27,-60.05,46.17,SYDNEY A,8205700,2003,1,27,,6.5,,2,,4.3,,13.7,,0,,64.2,,0,,64.2,,54,,16,E,72,E
Margaree,2003-01-28,-60.05,46.17,SYDNEY A,8205700,2003,1,28,,5.2,,-13.5,,-4.2,,22.2,,0,,21.6,,5.4,,26.6,,21,,31,E,61,E
Margaree,2003-01-29,-60.05,46.17,SYDNEY A,8205700,2003,1,29,,-5.2,,-8.2,,-6.7,,24.7,,0,,0,,0,,0,,20,,23,E,44,E
Margaree,2003-01-30,-60.05,46.17,SYDNEY A,8205700,2003,1,30,,-3.7,,-14,,-8.9,,26.9,,0,,0,,0.6,,0.6,,20,,,,<31,
Margaree,2003-01-31,-60.05,46.17,SYDNEY A,8205700,2003,1,31,,-0.9,,-11.6,,-6.3,,24.3,,0,,3.8,,3.2,,7,,20,,,,<31,
Margaree,2003-02-01,-60.05,46.17,SYDNEY A,8205700,2003,2,1,,0.1,,-1.2,,-0.6,,18.6,,0,,9.4,,0,,9.4,,20,,,,<31,
Margaree,2003-02-02,-60.05,46.17,SYDNEY A,8205700,2003,2,2,,6.6,,-1,,2.8,,15.2,,0,,15.6,,0,,15.6,,17,,12,,59,
Margaree,2003-02-03,-60.05,46.17,SYDNEY A,8205700,2003,2,3,,3.1,,-2,,0.6,,17.4,,0,,1,,1.4,,2.4,,13,,15,E,41,E
Margaree,2003-02-04,-60.05,46.17,SYDNEY A,8205700,2003,2,4,,1.1,,-3.9,,-1.4,,19.4,,0,,4.4,,0.4,,4.8,,11,,14,E,46,E
Margaree,2003-02-05,-60.05,46.17,SYDNEY A,8205700,2003,2,5,,5.6,,-7.9,,-1.2,,19.2,,0,,6.2,,0,,6.2,,9,,22,E,59,E
Margaree,2003-02-06,-60.05,46.17,SYDNEY A,8205700,2003,2,6,,-7.9,,-11.9,,-9.9,,27.9,,0,,0,,0,T,0,T,8,,25,E,61,E
Margaree,2003-02-07,-60.05,46.17,SYDNEY A,8205700,2003,2,7,,-3.3,,-11.8,,-7.6,,25.6,,0,,0,,5.6,,5.6,,8,,25,E,48,E
Margaree,2003-02-08,-60.05,46.17,SYDNEY A,8205700,2003,2,8,,-1.8,,-13.9,,-7.9,,25.9,,0,,0,,7.8,,7.8,,15,,36,E,48,E
Margaree,2003-02-09,-60.05,46.17,SYDNEY A,8205700,2003,2,9,,-0.7,,-14.6,,-7.7,,25.7,,0,,0,,1.6,,1,,14,,19,E,35,E
Margaree,2003-02-10,-60.05,46.17,SYDNEY A,8205700,2003,2,10,,-4.7,,-11,,-7.9,,25.9,,0,,0,,3.4,,2.6,,14,,6,E,32,E
Margaree,2003-02-11,-60.05,46.17,SYDNEY A,8205700,2003,2,11,,-3.1,,-12,,-7.6,,25.6,,0,,0,,40,,40,,35,,36,E,78,E
