Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Margaree,2004-01-01,-60.05,46.17,SYDNEY A,8205700,2004,1,1,,-1.3,,-3.4,,-2.4,,20.4,,0,,0,,0,T,0,T,,,26,,46,
Margaree,2004-01-02,-60.05,46.17,SYDNEY A,8205700,2004,1,2,,-1.9,,-7.2,,-4.6,,22.6,,0,,0,,0,T,0,T,,,30,,48,
Margaree,2004-01-03,-60.05,46.17,SYDNEY A,8205700,2004,1,3,,-0.3,,-9.6,,-5,,23,,0,,0,,3,,3,,3,,,,<31,
Margaree,2004-01-04,-60.05,46.17,SYDNEY A,8205700,2004,1,4,,4.5,,-2,,1.3,,16.7,,0,,1.8,,4.2,,6,,0,T,27,,52,
Margaree,2004-01-05,-60.05,46.17,SYDNEY A,8205700,2004,1,5,,-1.9,,-4.3,,-3.1,,21.1,,0,,0,,0,T,0,T,0,T,28,,46,
Margaree,2004-01-06,-60.05,46.17,SYDNEY A,8205700,2004,1,6,,-1.8,,-4.3,,-3.1,,21.1,,0,,0,,0,T,0,T,,,27,,39,
Margaree,2004-01-07,-60.05,46.17,SYDNEY A,8205700,2004,1,7,,-2.6,,-11,,-6.8,,24.8,,0,,0,,0,T,0,T,,,26,E,57,E
Margaree,2004-01-08,-60.05,46.17,SYDNEY A,8205700,2004,1,8,,-9.2,,-17,,-13.1,,31.1,,0,,0,,,M,2,,0,T,27,E,50,E
Margaree,2004-01-09,-60.05,46.17,SYDNEY A,8205700,2004,1,9,,-5.7,,-14.4,,-10.1,,28.1,,0,,0,,,M,2.6,,2,,27,E,48,E
Margaree,2004-01-10,-60.05,46.17,SYDNEY A,8205700,2004,1,10,,-5.9,,-15.5,,-10.7,,28.7,,0,,0,,0,T,0,T,4,,,,<31,
Margaree,2004-01-11,-60.05,46.17,SYDNEY A,8205700,2004,1,11,,-10.1,,-17.6,,-13.9,,31.9,,0,,0,,0,,0,,4,,25,,32,
Margaree,2004-01-12,-60.05,46.17,SYDNEY A,8205700,2004,1,12,,-5.9,,-17.6,E,-11.8,E,29.8,E,0,E,,M,,M,3.4,E,4,,,M,,M
Margaree,2004-01-13,-60.05,46.17,SYDNEY A,8205700,2004,1,13,,-0.6,,-8.9,,-4.8,,22.8,,0,,0,,4,,3.8,,5,,14,,50,
Margaree,2004-01-14,-60.05,46.17,SYDNEY A,8205700,2004,1,14,,0.6,,-19.9,,-9.7,,27.7,,0,,3.5,,0,T,3.5,,10,,25,,59,
