Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Pockwock,2004-01-01,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,1,,0,,-4,,-2,,20,,0,,0,,0,,0,,,M,,,,
Pockwock,2004-01-02,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,2,,-6,,-9.5,,-7.8,,25.8,,0,,0,,0,,0,,0,,,,,
Pockwock,2004-01-03,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,3,,0.5,,-9,,-4.3,,22.3,,0,,,M,2.8,,,M,,M,,,,
Pockwock,2004-01-04,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,4,,,M,,M,,M,,M,,M,,M,0,,,M,,M,,,,
Pockwock,2004-01-05,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,5,,-2.5,,-5,,-3.8,,21.8,,0,,0,,0.3,,0.3,,,M,,,,
Pockwock,2004-01-06,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,6,,-1.5,,-6.5,,-4,,22,,0,,0,,1,,1,,0,T,,,,
Pockwock,2004-01-07,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,7,,-7.5,,-13,,-10.3,,28.3,,0,,0,,2.2,,2.2,,0,,,,,
Pockwock,2004-01-08,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,8,,-16,,-21,,-18.5,,36.5,,0,,0,,1,,1,,0,,,,,
Pockwock,2004-01-09,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,9,,-9,,-20,,-14.5,,32.5,,0,,0,,0,,0,,3,,,,,
Pockwock,2004-01-10,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,10,,-15,,-18.5,,-16.8,,34.8,,0,,0,,0.5,,0.5,,3,,,,,
Pockwock,2004-01-11,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,11,,,M,-18,,,M,,M,,M,0,,0,,0,,3,,,,,
Pockwock,2004-01-12,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,12,,-5,,,M,,M,,M,,M,0,,4.2,,4.2,,,M,,,,
Pockwock,2004-01-13,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,13,,-1,,-15.5,,-8.3,,26.3,,0,,0,,5.4,,5.4,,0,,,,,
Pockwock,2004-01-14,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,14,,-19,,-21.5,,-20.3,,38.3,,0,,0,,0,,0,,,M,,,,
Pockwock,2004-01-15,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,15,,-15.5,,-23,,-19.3,,37.3,,0,,0,,0,,0,,4,,,,,
Pockwock,2004-01-16,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,16,,,M,-27,,,M,,M,,M,0,,0,,0,,0,,,,,
Pockwock,2004-01-17,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,17,,0.5,,-14.5,,-7,,25,,0,,0,,0,,0,,,M,,,,
Pockwock,2004-01-18,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,18,,1,,-9,,-4,,22,,0,,0,,11,,11,,0,,,,,
Pockwock,2004-01-19,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,19,,-0.5,,-6.5,,-3.5,,21.5,,0,,0,,4,,4,,23,,,,,
Pockwock,2004-01-20,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,20,,-4,,-7,,-5.5,,23.5,,0,,0,,0,,0,,,M,,,,
Pockwock,2004-01-21,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,21,,-5.5,,-6,,-5.8,,23.8,,0,,0,,0,,0,,18,,,,,
Pockwock,2004-01-22,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,22,,1,,-8,,-3.5,,21.5,,0,,0,,14,,14,,19,,,,,
Pockwock,2004-01-23,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,23,,-5,,-11,,-8,,26,,0,,0,,0,,0,,24,,,,,
Pockwock,2004-01-24,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,24,,-11.5,,-20,,-15.8,,33.8,,0,,0,,0,T,0,T,25,,,,,
Pockwock,2004-01-25,-63.83,44.77,POCKWOCK LAKE,8204453,2004,1,25,,-17.5,,-23,,-20.3,,38.3,,0,,0,,0,,0,,24,,,,,
